                           OLS Regression Results                           
Dep. Variable:   ,click_bool      ,  R-squared (uncentered):     ,   0.080  
Model:           ,OLS             ,  Adj. R-squared (uncentered):,   0.080  
Method:          ,Least Squares   ,  F-statistic:                ,   615.1  
Date:            ,Thu, 06 May 2021,  Prob (F-statistic):         ,  0.00    
Time:            ,14:21:03        ,  Log-Likelihood:             ,2.5910e+05
No. Observations:,1487504         ,  AIC:                        ,-5.178e+05
Df Residuals:    ,1487294         ,  BIC:                        ,-5.152e+05
Df Model:        ,   210          ,                              ,          
Covariance Type: ,nonrobust       ,                              ,          
    ,   coef   , std err ,    t    ,P>|t| ,  [0.025 ,  0.975] 
x128,    0.0024,    0.002,    1.222, 0.222,   -0.001,    0.006
x129,   -0.0097,    0.004,   -2.627, 0.009,   -0.017,   -0.002
x130,   -0.0034,    0.003,   -1.222, 0.222,   -0.009,    0.002
x131, 2.116e-06, 7.35e-07,    2.881, 0.004, 6.76e-07, 3.56e-06
x132,   -0.0043,    0.003,   -1.490, 0.136,   -0.010,    0.001
x133, 3.233e-05, 9.23e-06,    3.505, 0.000, 1.42e-05, 5.04e-05
x134,  7.43e-09,  1.7e-08,    0.438, 0.661,-2.58e-08, 4.07e-08
x135,   -0.0003,    0.000,   -1.220, 0.222,   -0.001,    0.000
x136, -1.33e-08, 1.15e-08,   -1.157, 0.247,-3.58e-08, 9.23e-09
x137, 3.815e-05, 4.95e-05,    0.770, 0.441,-5.89e-05,    0.000
x138, 3.557e-06, 2.16e-06,    1.645, 0.100,-6.82e-07,  7.8e-06
x139,    0.0002,    0.000,    1.437, 0.151,-6.35e-05,    0.000
x140,    0.0001,    0.000,    0.977, 0.328,   -0.000,    0.000
x141,   -0.0002,    0.000,   -0.931, 0.352,   -0.001,    0.000
x142, 8.686e-05,    0.000,    0.444, 0.657,   -0.000,    0.000
x143,-2.244e-09, 5.82e-08,   -0.039, 0.969,-1.16e-07, 1.12e-07
x144,    0.0003,    0.000,    1.596, 0.110,-7.58e-05,    0.001
x145,-2.568e-09, 1.97e-09,   -1.306, 0.192,-6.42e-09, 1.29e-09
x146,   -0.0006, 4.14e-05,  -14.640, 0.000,   -0.001,   -0.001
x147, 1.906e-09, 2.03e-09,    0.940, 0.347,-2.07e-09, 5.88e-09
x148, 4.847e-05, 8.85e-06,    5.477, 0.000, 3.11e-05, 6.58e-05
x149,-1.397e-06, 3.42e-07,   -4.083, 0.000,-2.07e-06,-7.26e-07
x150, 4.208e-05,  2.2e-05,    1.915, 0.055,-9.85e-07, 8.52e-05
x151,   -0.0002, 2.28e-05,   -8.474, 0.000,   -0.000,   -0.000
x152,   -0.0004, 4.51e-05,   -8.512, 0.000,   -0.000,   -0.000
x153, -7.72e-05, 3.46e-05,   -2.231, 0.026,   -0.000,-9.39e-06
x154,-4.306e-08, 1.04e-08,   -4.147, 0.000,-6.34e-08,-2.27e-08
x155,    0.0009, 3.68e-05,   25.600, 0.000,    0.001,    0.001
x156, 7.896e-09, 3.15e-08,    0.251, 0.802,-5.37e-08, 6.95e-08
x157, 1.585e-11, 5.18e-12,    3.059, 0.002, 5.69e-12,  2.6e-11
x158,-3.461e-08,  2.3e-08,   -1.503, 0.133,-7.97e-08, 1.05e-08
x159,-1.021e-09,    8e-10,   -1.276, 0.202,-2.59e-09, 5.47e-10
x160, 2.426e-07, 1.03e-07,    2.366, 0.018, 4.16e-08, 4.44e-07
x161, 1.442e-10, 8.06e-08,    0.002, 0.999,-1.58e-07, 1.58e-07
x162,-2.955e-07, 1.79e-07,   -1.647, 0.100,-6.47e-07, 5.62e-08
x163,  2.83e-08, 8.39e-08,    0.337, 0.736,-1.36e-07, 1.93e-07
x164,-1.346e-10,  6.2e-11,   -2.173, 0.030,-2.56e-10,-1.32e-11
x165, 2.916e-07,  1.1e-07,    2.649, 0.008, 7.58e-08, 5.07e-07
x166, 2.959e-09, 5.24e-08,    0.056, 0.955,-9.98e-08, 1.06e-07
x167,    0.0004,    0.000,    1.972, 0.049, 2.45e-06,    0.001
x168,-1.555e-05, 8.86e-06,   -1.755, 0.079,-3.29e-05, 1.81e-06
x169,    0.0014,    0.001,    2.496, 0.013,    0.000,    0.003
x170,   -0.0008,    0.001,   -1.323, 0.186,   -0.002,    0.000
x171,   -0.0018,    0.001,   -1.577, 0.115,   -0.004,    0.000
x172,   -0.0010,    0.001,   -1.087, 0.277,   -0.003,    0.001
x173,-7.557e-08, 2.45e-07,   -0.309, 0.757,-5.55e-07, 4.04e-07
x174,    0.0026,    0.001,    2.732, 0.006,    0.001,    0.005
x175,-1.472e-08, 1.11e-08,   -1.321, 0.187,-3.66e-08, 7.13e-09
x176,-2.094e-10,  4.3e-10,   -0.487, 0.626,-1.05e-09, 6.33e-10
x177, 1.369e-08, 2.76e-08,    0.496, 0.620,-4.04e-08, 6.78e-08
x178, 5.503e-09, 2.94e-08,    0.187, 0.852,-5.21e-08, 6.32e-08
x179,-9.227e-08, 5.65e-08,   -1.633, 0.102,-2.03e-07, 1.85e-08
x180,-1.466e-09, 4.32e-08,   -0.034, 0.973,-8.62e-08, 8.32e-08
x181, 1.248e-11, 1.29e-11,    0.968, 0.333,-1.28e-11, 3.77e-11
x182, 7.115e-08, 4.62e-08,    1.540, 0.124,-1.94e-08, 1.62e-07
x183,-8.902e-07, 1.43e-06,   -0.621, 0.535, -3.7e-06, 1.92e-06
x184,   -0.0002,    0.000,   -1.381, 0.167,   -0.000, 7.25e-05
x185,-1.141e-05,    0.000,   -0.089, 0.929,   -0.000,    0.000
x186, 1.008e-05,    0.000,    0.040, 0.968,   -0.000,    0.001
x187,-3.493e-05,    0.000,   -0.120, 0.905,   -0.001,    0.001
x188,-1.964e-08, 4.32e-08,   -0.455, 0.649,-1.04e-07, 6.49e-08
x189,   -0.0003,    0.000,   -1.635, 0.102,   -0.001, 6.08e-05
x190, 3.222e-06, 4.39e-06,    0.735, 0.463,-5.37e-06, 1.18e-05
x191,-1.097e-07, 4.71e-06,   -0.023, 0.981,-9.34e-06, 9.12e-06
x192,-5.615e-06,  8.7e-06,   -0.645, 0.519,-2.27e-05, 1.14e-05
x193,-9.055e-06, 7.54e-06,   -1.200, 0.230,-2.38e-05, 5.73e-06
x194,  6.02e-10, 1.63e-09,    0.370, 0.712,-2.59e-09, 3.79e-09
x195,-3.465e-06, 7.25e-06,   -0.478, 0.633,-1.77e-05, 1.07e-05
x196,   -0.0006,    0.000,   -2.295, 0.022,   -0.001,-8.96e-05
x197,   -0.0009,    0.000,   -4.325, 0.000,   -0.001,   -0.000
x198,    0.0005,    0.000,    0.975, 0.329,   -0.000,    0.001
x199, 6.508e-08,  1.4e-07,    0.463, 0.643, -2.1e-07,  3.4e-07
x200,    0.0007,    0.000,    1.314, 0.189,   -0.000,    0.002
x201,    0.0005,    0.000,    1.025, 0.305,   -0.000,    0.001
x202,   -0.0012,    0.000,   -2.329, 0.020,   -0.002,   -0.000
x203,-1.152e-07, 1.71e-07,   -0.673, 0.501,-4.51e-07, 2.21e-07
x204,    0.0002,    0.001,    0.340, 0.734,   -0.001,    0.001
x205,   -0.0014,    0.001,   -1.500, 0.134,   -0.003,    0.000
x206, 9.623e-08, 2.85e-07,    0.338, 0.736,-4.63e-07, 6.55e-07
x207,   -0.0016,    0.001,   -1.587, 0.113,   -0.004,    0.000
x208, 3.384e-11, 2.25e-07,    0.000, 1.000,-4.42e-07, 4.42e-07
x209,   -0.0006,    0.001,   -0.783, 0.434,   -0.002,    0.001
x210, -3.57e-07, 2.35e-07,   -1.518, 0.129,-8.18e-07, 1.04e-07
Omnibus:      ,1227466.409,  Durbin-Watson:     ,   2.000    
Prob(Omnibus):, 0.000     ,  Jarque-Bera (JB):  ,20498891.933
Skew:         , 4.162     ,  Prob(JB):          ,    0.00    
Kurtosis:     ,19.169     ,  Cond. No.          ,1.22e+10    

Notes:
[1] R² is computed without centering (uncentered) since the model does not contain a constant.
[2] Standard Errors assume that the covariance matrix of the errors is correctly specified.
[3] The condition number is large, 1.22e+10. This might indicate that there are
strong multicollinearity or other numerical problems.
