         105324242 function calls (104113373 primitive calls) in 111.796 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    48418    0.429    0.000   18.374    0.000 /home/ate/miniconda3/envs/vu-dmt/lib/python3.8/site-packages/pandas/core/indexing.py:1789(_setitem_single_column)
338918/338916    1.413    0.000   14.651    0.000 /home/ate/miniconda3/envs/vu-dmt/lib/python3.8/site-packages/pandas/core/series.py:238(__init__)
96783/48393    0.224    0.000   13.408    0.000 /home/ate/miniconda3/envs/vu-dmt/lib/python3.8/site-packages/pandas/core/indexing.py:882(__getitem__)
    48390    0.157    0.000   12.938    0.000 /home/ate/miniconda3/envs/vu-dmt/lib/python3.8/site-packages/pandas/core/indexing.py:1058(_getitem_tuple)
    48390    0.404    0.000   12.733    0.000 /home/ate/miniconda3/envs/vu-dmt/lib/python3.8/site-packages/pandas/core/indexing.py:782(_getitem_lowerdim)
    96783    0.355    0.000   11.472    0.000 /home/ate/miniconda3/envs/vu-dmt/lib/python3.8/site-packages/pandas/core/indexing.py:1092(_getitem_axis)
    96783    0.412    0.000   11.462    0.000 /home/ate/miniconda3/envs/vu-dmt/lib/python3.8/site-packages/pandas/core/series.py:2734(_construct_result)
    48390    0.095    0.000   10.288    0.000 /home/ate/miniconda3/envs/vu-dmt/lib/python3.8/site-packages/sklearn/base.py:671(fit_transform)
    48391    0.131    0.000    7.337    0.000 /home/ate/miniconda3/envs/vu-dmt/lib/python3.8/site-packages/pandas/core/indexing.py:909(_getbool_axis)
    48418    0.169    0.000    7.056    0.000 /home/ate/miniconda3/envs/vu-dmt/lib/python3.8/site-packages/pandas/core/frame.py:3217(_iset_item)
    96871    0.412    0.000    6.919    0.000 /home/ate/miniconda3/envs/vu-dmt/lib/python3.8/site-packages/pandas/core/internals/managers.py:376(apply)
   145171    0.234    0.000    6.772    0.000 /home/ate/miniconda3/envs/vu-dmt/lib/python3.8/site-packages/sklearn/utils/validation.py:59(inner_f)
    96780    0.257    0.000    6.582    0.000 /home/ate/miniconda3/envs/vu-dmt/lib/python3.8/site-packages/sklearn/base.py:369(_validate_data)
    48390    0.064    0.000    6.297    0.000 /home/ate/miniconda3/envs/vu-dmt/lib/python3.8/site-packages/sklearn/preprocessing/_data.py:343(fit)
    48390    0.720    0.000    6.113    0.000 /home/ate/miniconda3/envs/vu-dmt/lib/python3.8/site-packages/sklearn/preprocessing/_data.py:365(partial_fit)
    96780    0.988    0.000    6.044    0.000 /home/ate/miniconda3/envs/vu-dmt/lib/python3.8/site-packages/sklearn/utils/validation.py:404(check_array)
   145216    0.631    0.000    5.936    0.000 /home/ate/miniconda3/envs/vu-dmt/lib/python3.8/site-packages/pandas/core/frame.py:2987(__getitem__)
   193674    0.411    0.000    5.865    0.000 /home/ate/miniconda3/envs/vu-dmt/lib/python3.8/site-packages/pandas/core/internals/blocks.py:2711(make_block)
17293142/17293141    3.363    0.000    5.668    0.000 {built-in method builtins.isinstance}
    48418    0.243    0.000    5.517    0.000 /home/ate/miniconda3/envs/vu-dmt/lib/python3.8/site-packages/pandas/core/indexing.py:611(_get_setitem_indexer)
    48422    0.182    0.000    5.073    0.000 /home/ate/miniconda3/envs/vu-dmt/lib/python3.8/site-packages/pandas/core/generic.py:5889(copy)
   145207    0.268    0.000    5.036    0.000 /home/ate/miniconda3/envs/vu-dmt/lib/python3.8/site-packages/pandas/core/internals/managers.py:1577(from_array)
   145214    0.490    0.000    4.873    0.000 /home/ate/miniconda3/envs/vu-dmt/lib/python3.8/site-packages/pandas/core/generic.py:3783(_get_item_cache)
    96839    0.215    0.000    4.734    0.000 /home/ate/miniconda3/envs/vu-dmt/lib/python3.8/site-packages/pandas/core/indexing.py:2238(check_bool_indexer)
    48418    0.180    0.000    4.723    0.000 /home/ate/miniconda3/envs/vu-dmt/lib/python3.8/site-packages/pandas/core/indexing.py:740(_convert_tuple)
    96836    0.364    0.000    4.500    0.000 /home/ate/miniconda3/envs/vu-dmt/lib/python3.8/site-packages/pandas/core/indexing.py:1147(_convert_to_indexer)
   193728    0.706    0.000    4.361    0.000 /home/ate/miniconda3/envs/vu-dmt/lib/python3.8/site-packages/pandas/core/internals/blocks.py:2662(get_block_type)
435460/435427    0.406    0.000    4.314    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
   193664    4.176    0.000    4.176    0.000 {method 'copy' of 'numpy.ndarray' objects}
    96299    1.022    0.000    4.122    0.000 /home/ate/miniconda3/envs/vu-dmt/lib/python3.8/site-packages/pandas/core/computation/expressions.py:72(_can_use_numexpr)
    48390    0.046    0.000    4.112    0.000 /home/ate/miniconda3/envs/vu-dmt/lib/python3.8/site-packages/pandas/core/series.py:809(_take_with_is_copy)
    48420    0.170    0.000    4.107    0.000 /home/ate/miniconda3/envs/vu-dmt/lib/python3.8/site-packages/pandas/core/generic.py:3820(_iset_item)
    48390    0.279    0.000    4.066    0.000 /home/ate/miniconda3/envs/vu-dmt/lib/python3.8/site-packages/pandas/core/series.py:791(take)
    48390    0.373    0.000    3.896    0.000 /home/ate/miniconda3/envs/vu-dmt/lib/python3.8/site-packages/sklearn/preprocessing/_data.py:419(transform)
    48422    0.126    0.000    3.853    0.000 /home/ate/miniconda3/envs/vu-dmt/lib/python3.8/site-packages/pandas/core/internals/managers.py:796(copy)
    48422    1.145    0.000    3.791    0.000 /home/ate/miniconda3/envs/vu-dmt/lib/python3.8/site-packages/pandas/core/internals/managers.py:1057(iset)
   726180    1.242    0.000    3.517    0.000 /home/ate/miniconda3/envs/vu-dmt/lib/python3.8/site-packages/pandas/core/generic.py:5467(__setattr__)
    48418    0.057    0.000    3.510    0.000 /home/ate/miniconda3/envs/vu-dmt/lib/python3.8/site-packages/pandas/core/internals/managers.py:567(setitem)
    96839    0.452    0.000    3.406    0.000 /home/ate/miniconda3/envs/vu-dmt/lib/python3.8/site-packages/pandas/core/indexers.py:363(check_array_indexer)
    48418    0.401    0.000    3.064    0.000 /home/ate/miniconda3/envs/vu-dmt/lib/python3.8/site-packages/pandas/core/internals/blocks.py:916(setitem)
    96780    0.956    0.000    3.001    0.000 /home/ate/miniconda3/envs/vu-dmt/lib/python3.8/site-packages/sklearn/utils/validation.py:83(_assert_all_finite)
1112730/919044    1.973    0.000    2.882    0.000 {built-in method numpy.array}
    48390    0.047    0.000    2.814    0.000 /home/ate/miniconda3/envs/vu-dmt/lib/python3.8/site-packages/pandas/core/indexing.py:1071(_get_label)
   145231    0.310    0.000    2.813    0.000 /home/ate/miniconda3/envs/vu-dmt/lib/python3.8/site-packages/pandas/core/frame.py:3306(_box_col_values)
    48390    0.072    0.000    2.767    0.000 /home/ate/miniconda3/envs/vu-dmt/lib/python3.8/site-packages/pandas/core/generic.py:3606(xs)
    96871    0.530    0.000    2.751    0.000 /home/ate/miniconda3/envs/vu-dmt/lib/python3.8/site-packages/pandas/core/construction.py:423(sanitize_array)
    48429    0.089    0.000    2.732    0.000 /home/ate/miniconda3/envs/vu-dmt/lib/python3.8/site-packages/pandas/core/internals/blocks.py:752(copy)
822197/628511    0.245    0.000    2.599    0.000 /home/ate/miniconda3/envs/vu-dmt/lib/python3.8/site-packages/numpy/core/_asarray.py:14(asarray)
    48426    0.170    0.000    2.576    0.000 /home/ate/miniconda3/envs/vu-dmt/lib/python3.8/site-packages/pandas/core/frame.py:3833(_sanitize_column)
   290506    1.240    0.000    2.437    0.000 /home/ate/miniconda3/envs/vu-dmt/lib/python3.8/site-packages/pandas/core/generic.py:5411(__finalize__)
   193081    0.545    0.000    2.254    0.000 /home/ate/miniconda3/envs/vu-dmt/lib/python3.8/site-packages/numpy/core/fromnumeric.py:70(_wrapreduction)
   386739    2.090    0.000    2.090    0.000 {method 'reduce' of 'numpy.ufunc' objects}
   629380    0.728    0.000    2.000    0.000 /home/ate/miniconda3/envs/vu-dmt/lib/python3.8/site-packages/pandas/core/series.py:538(name)
    48420    0.100    0.000    1.932    0.000 /home/ate/miniconda3/envs/vu-dmt/lib/python3.8/site-packages/pandas/core/frame.py:3853(reindexer)
    48418    0.173    0.000    1.922    0.000 /home/ate/miniconda3/envs/vu-dmt/lib/python3.8/site-packages/pandas/core/frame.py:2934(_ixs)
  5717133    1.330    0.000    1.892    0.000 /home/ate/miniconda3/envs/vu-dmt/lib/python3.8/site-packages/pandas/core/dtypes/generic.py:30(_check)
   145231    0.658    0.000    1.863    0.000 /home/ate/miniconda3/envs/vu-dmt/lib/python3.8/site-packages/pandas/core/internals/managers.py:998(iget)
    48420    1.850    0.000    1.850    0.000 /home/ate/miniconda3/envs/vu-dmt/lib/python3.8/site-packages/pandas/core/internals/blocks.py:354(set_inplace)
   338933    0.316    0.000    1.775    0.000 /home/ate/miniconda3/envs/vu-dmt/lib/python3.8/site-packages/pandas/core/construction.py:354(extract_array)
    96780    0.202    0.000    1.768    0.000 /home/ate/miniconda3/envs/vu-dmt/lib/python3.8/site-packages/sklearn/utils/extmath.py:663(_safe_accumulator_op)
   387377    0.881    0.000    1.742    0.000 /home/ate/miniconda3/envs/vu-dmt/lib/python3.8/site-packages/pandas/core/internals/blocks.py:127(__init__)
      484    0.002    0.000    1.718    0.004 /home/ate/miniconda3/envs/vu-dmt/lib/python3.8/site-packages/pandas/core/ops/array_ops.py:40(comp_method_OBJECT_ARRAY)
      484    1.714    0.004    1.714    0.004 {pandas._libs.ops.scalar_compare}
    96301    0.076    0.000    1.665    0.000 <__array_function__ internals>:2(prod)
   289609    0.620    0.000    1.596    0.000 /home/ate/miniconda3/envs/vu-dmt/lib/python3.8/site-packages/numpy/core/_dtype.py:321(_name_get)
   775770    0.381    0.000    1.558    0.000 /home/ate/miniconda3/envs/vu-dmt/lib/python3.8/site-packages/pandas/core/dtypes/base.py:254(is_dtype)
   824482    0.617    0.000    1.513    0.000 /home/ate/miniconda3/envs/vu-dmt/lib/python3.8/site-packages/pandas/core/dtypes/common.py:1470(is_extension_array_dtype)
    96301    0.158    0.000    1.484    0.000 /home/ate/miniconda3/envs/vu-dmt/lib/python3.8/site-packages/numpy/core/fromnumeric.py:2881(prod)
    48447    0.064    0.000    1.465    0.000 /home/ate/miniconda3/envs/vu-dmt/lib/python3.8/site-packages/pandas/core/internals/blocks.py:276(make_block)
   387467    0.365    0.000    1.307    0.000 /home/ate/miniconda3/envs/vu-dmt/lib/python3.8/site-packages/pandas/core/dtypes/common.py:201(is_object_dtype)
4599839/3825028    1.024    0.000    1.303    0.000 {built-in method builtins.len}
   968251    0.698    0.000    1.300    0.000 {pandas._libs.lib.is_list_like}
    96818    1.279    0.000    1.279    0.000 {method 'nonzero' of 'numpy.ndarray' objects}
    96780    0.079    0.000    1.276    0.000 <__array_function__ internals>:2(sum)
   629381    0.360    0.000    1.272    0.000 /home/ate/miniconda3/envs/vu-dmt/lib/python3.8/site-packages/pandas/core/dtypes/common.py:1743(validate_all_hashable)
   145259    0.266    0.000    1.261    0.000 /home/ate/miniconda3/envs/vu-dmt/lib/python3.8/site-packages/pandas/core/common.py:75(is_bool_indexer)
   485130    0.501    0.000    1.209    0.000 /home/ate/miniconda3/envs/vu-dmt/lib/python3.8/site-packages/pandas/core/dtypes/common.py:1610(_is_dtype_type)
   192776    0.419    0.000    1.155    0.000 /home/ate/miniconda3/envs/vu-dmt/lib/python3.8/site-packages/numpy/core/_ufunc_config.py:32(seterr)
   193625    0.169    0.000    1.155    0.000 /home/ate/miniconda3/envs/vu-dmt/lib/python3.8/site-packages/pandas/core/series.py:620(array)
  8385492    1.044    0.000    1.133    0.000 {built-in method builtins.getattr}
   193703    0.260    0.000    1.111    0.000 /home/ate/miniconda3/envs/vu-dmt/lib/python3.8/site-packages/pandas/core/internals/blocks.py:288(make_block_same_class)
    96839    0.131    0.000    1.108    0.000 /home/ate/miniconda3/envs/vu-dmt/lib/python3.8/site-packages/pandas/core/series.py:721(__array__)
   338931    0.831    0.000    1.102    0.000 /home/ate/miniconda3/envs/vu-dmt/lib/python3.8/site-packages/pandas/core/generic.py:188(__init__)
    96780    0.154    0.000    1.095    0.000 /home/ate/miniconda3/envs/vu-dmt/lib/python3.8/site-packages/numpy/core/fromnumeric.py:2105(sum)
  1307059    0.322    0.000    1.016    0.000 /home/ate/miniconda3/envs/vu-dmt/lib/python3.8/abc.py:96(__instancecheck__)
    96783    0.145    0.000    1.005    0.000 /home/ate/miniconda3/envs/vu-dmt/lib/python3.8/site-packages/pandas/core/dtypes/common.py:1071(is_numeric_v_string_like)
677829/677828    0.314    0.000    0.987    0.000 {built-in method builtins.all}
   193625    0.186    0.000    0.934    0.000 /home/ate/miniconda3/envs/vu-dmt/lib/python3.8/site-packages/pandas/core/internals/blocks.py:239(array_values)
    96869    0.098    0.000    0.916    0.000 /home/ate/miniconda3/envs/vu-dmt/lib/python3.8/site-packages/pandas/core/construction.py:554(_try_cast)
   193837    0.247    0.000    0.889    0.000 /home/ate/miniconda3/envs/vu-dmt/lib/python3.8/site-packages/pandas/core/dtypes/common.py:1341(is_bool_dtype)
    48393    0.153    0.000    0.869    0.000 /home/ate/miniconda3/envs/vu-dmt/lib/python3.8/site-packages/pandas/core/indexes/base.py:742(take)
  2224840    0.524    0.000    0.868    0.000 {built-in method builtins.hasattr}
   726193    0.522    0.000    0.854    0.000 /home/ate/miniconda3/envs/vu-dmt/lib/python3.8/site-packages/pandas/core/series.py:488(name)
   193079    0.232    0.000    0.829    0.000 /home/ate/miniconda3/envs/vu-dmt/lib/python3.8/warnings.py:165(simplefilter)
    48390    0.058    0.000    0.826    0.000 <__array_function__ internals>:2(nanmin)
   677880    0.241    0.000    0.826    0.000 /home/ate/miniconda3/envs/vu-dmt/lib/python3.8/site-packages/pandas/core/series.py:473(dtype)
    96867    0.498    0.000    0.808    0.000 /home/ate/miniconda3/envs/vu-dmt/lib/python3.8/site-packages/pandas/core/dtypes/cast.py:1257(maybe_castable)
    96388    0.198    0.000    0.802    0.000 /home/ate/miniconda3/envs/vu-dmt/lib/python3.8/site-packages/numpy/core/_ufunc_config.py:438(__exit__)
   193820    0.155    0.000    0.785    0.000 /home/ate/miniconda3/envs/vu-dmt/lib/python3.8/site-packages/pandas/core/dtypes/common.py:499(is_interval_dtype)
        1    0.004    0.004    0.766    0.766 /mnt/d/Studie/Vrije Universiteit/Data Mining Techniques/assignment_2/data.py:12(read_datafile)
   193625    0.376    0.000    0.748    0.000 /home/ate/miniconda3/envs/vu-dmt/lib/python3.8/site-packages/pandas/core/arrays/numpy_.py:156(__init__)
    96843    0.206    0.000    0.741    0.000 /home/ate/miniconda3/envs/vu-dmt/lib/python3.8/site-packages/pandas/core/indexes/range.py:395(_shallow_copy)
    96780    0.334    0.000    0.728    0.000 /home/ate/miniconda3/envs/vu-dmt/lib/python3.8/site-packages/sklearn/utils/validation.py:187(_num_samples)
   289539    0.300    0.000    0.728    0.000 /home/ate/miniconda3/envs/vu-dmt/lib/python3.8/site-packages/numpy/core/numerictypes.py:360(issubdtype)
   824486    0.520    0.000    0.722    0.000 /home/ate/miniconda3/envs/vu-dmt/lib/python3.8/site-packages/pandas/core/dtypes/base.py:411(find)
    48390    0.237    0.000    0.712    0.000 /home/ate/miniconda3/envs/vu-dmt/lib/python3.8/site-packages/numpy/lib/nanfunctions.py:228(nanmin)
   290469    0.111    0.000    0.712    0.000 /home/ate/miniconda3/envs/vu-dmt/lib/python3.8/site-packages/pandas/core/dtypes/inference.py:185(is_array_like)
   145241    0.176    0.000    0.710    0.000 /home/ate/miniconda3/envs/vu-dmt/lib/python3.8/site-packages/pandas/core/indexes/base.py:3036(get_loc)
  1307059    0.562    0.000    0.694    0.000 {built-in method _abc._abc_instancecheck}
   289609    0.238    0.000    0.676    0.000 /home/ate/miniconda3/envs/vu-dmt/lib/python3.8/site-packages/numpy/core/_dtype.py:307(_name_includes_bit_suffix)
   193824    0.140    0.000    0.671    0.000 /home/ate/miniconda3/envs/vu-dmt/lib/python3.8/site-packages/pandas/core/dtypes/common.py:463(is_period_dtype)
   193753    0.406    0.000    0.665    0.000 /home/ate/miniconda3/envs/vu-dmt/lib/python3.8/site-packages/pandas/core/dtypes/common.py:231(is_sparse)
   194420    0.155    0.000    0.656    0.000 /home/ate/miniconda3/envs/vu-dmt/lib/python3.8/site-packages/pandas/core/dtypes/common.py:537(is_categorical_dtype)
    96388    0.091    0.000    0.642    0.000 /home/ate/miniconda3/envs/vu-dmt/lib/python3.8/site-packages/numpy/core/_ufunc_config.py:433(__enter__)
  1258762    0.333    0.000    0.616    0.000 /home/ate/miniconda3/envs/vu-dmt/lib/python3.8/site-packages/pandas/core/dtypes/common.py:1762(<genexpr>)
   193793    0.235    0.000    0.613    0.000 /home/ate/miniconda3/envs/vu-dmt/lib/python3.8/site-packages/pandas/core/dtypes/dtypes.py:1132(is_dtype)
   677880    0.346    0.000    0.584    0.000 /home/ate/miniconda3/envs/vu-dmt/lib/python3.8/site-packages/pandas/core/internals/managers.py:1615(dtype)
   193080    0.274    0.000    0.581    0.000 /home/ate/miniconda3/envs/vu-dmt/lib/python3.8/warnings.py:181(_add_filter)
    48422    0.039    0.000    0.568    0.000 /home/ate/miniconda3/envs/vu-dmt/lib/python3.8/site-packages/pandas/core/internals/managers.py:817(<listcomp>)
    48420    0.105    0.000    0.536    0.000 /home/ate/miniconda3/envs/vu-dmt/lib/python3.8/site-packages/pandas/core/internals/blocks.py:2070(_can_hold_element)
    48426    0.072    0.000    0.529    0.000 /home/ate/miniconda3/envs/vu-dmt/lib/python3.8/site-packages/pandas/core/internals/managers.py:814(copy_func)
    96795    0.128    0.000    0.523    0.000 /home/ate/miniconda3/envs/vu-dmt/lib/python3.8/site-packages/pandas/core/dtypes/common.py:1234(is_numeric_dtype)
    96299    0.229    0.000    0.520    0.000 /home/ate/miniconda3/envs/vu-dmt/lib/python3.8/site-packages/numexpr/necompiler.py:726(getArguments)
581023/581022    0.518    0.000    0.518    0.000 /home/ate/miniconda3/envs/vu-dmt/lib/python3.8/site-packages/pandas/core/generic.py:5449(__getattr__)
   193797    0.156    0.000    0.514    0.000 /home/ate/miniconda3/envs/vu-dmt/lib/python3.8/site-packages/pandas/core/dtypes/dtypes.py:923(is_dtype)
   193787    0.107    0.000    0.492    0.000 /home/ate/miniconda3/envs/vu-dmt/lib/python3.8/site-packages/pandas/core/dtypes/common.py:388(is_datetime64tz_dtype)
   290426    0.109    0.000    0.491    0.000 /home/ate/miniconda3/envs/vu-dmt/lib/python3.8/site-packages/pandas/core/indexers.py:52(is_list_like_indexer)
  3630760    0.475    0.000    0.475    0.000 {built-in method builtins.issubclass}
    48390    0.036    0.000    0.470    0.000 <__array_function__ internals>:2(nanmax)
   193739    0.328    0.000    0.461    0.000 /home/ate/miniconda3/envs/vu-dmt/lib/python3.8/site-packages/pandas/core/indexes/base.py:4279(__getitem__)
    48390    0.114    0.000    0.459    0.000 /home/ate/miniconda3/envs/vu-dmt/lib/python3.8/site-packages/sklearn/utils/validation.py:977(check_is_fitted)
    48426    0.051    0.000    0.457    0.000 /home/ate/miniconda3/envs/vu-dmt/lib/python3.8/site-packages/pandas/core/indexes/base.py:653(view)
   387223    0.293    0.000    0.457    0.000 /home/ate/miniconda3/envs/vu-dmt/lib/python3.8/site-packages/pandas/core/generic.py:470(_get_axis)
   919922    0.300    0.000    0.454    0.000 /home/ate/miniconda3/envs/vu-dmt/lib/python3.8/site-packages/pandas/core/dtypes/inference.py:322(is_hashable)
    48390    0.261    0.000    0.453    0.000 /home/ate/miniconda3/envs/vu-dmt/lib/python3.8/site-packages/sklearn/preprocessing/_data.py:64(_handle_zeros_in_scale)
   145293    0.128    0.000    0.431    0.000 /home/ate/miniconda3/envs/vu-dmt/lib/python3.8/site-packages/pandas/core/indexes/base.py:5953(maybe_extract_name)
   387377    0.371    0.000    0.421    0.000 /home/ate/miniconda3/envs/vu-dmt/lib/python3.8/site-packages/pandas/core/internals/blocks.py:269(mgr_locs)
    48420    0.072    0.000    0.417    0.000 /home/ate/miniconda3/envs/vu-dmt/lib/python3.8/site-packages/pandas/core/dtypes/cast.py:896(maybe_infer_dtype_type)
    96300    0.326    0.000    0.415    0.000 /home/ate/miniconda3/envs/vu-dmt/lib/python3.8/site-packages/numexpr/necompiler.py:535(getContext)
        1    0.001    0.001    0.410    0.410 /home/ate/miniconda3/envs/vu-dmt/lib/python3.8/site-packages/pandas/io/parsers.py:533(read_csv)
   387333    0.328    0.000    0.410    0.000 /home/ate/miniconda3/envs/vu-dmt/lib/python3.8/site-packages/pandas/core/internals/managers.py:1545(__init__)
        1    0.000    0.000    0.409    0.409 /home/ate/miniconda3/envs/vu-dmt/lib/python3.8/site-packages/pandas/io/parsers.py:447(_read)
        1    0.000    0.000    0.404    0.404 /home/ate/miniconda3/envs/vu-dmt/lib/python3.8/site-packages/pandas/io/parsers.py:1055(read)
   579078    0.246    0.000    0.399    0.000 /home/ate/miniconda3/envs/vu-dmt/lib/python3.8/site-packages/numpy/core/numerictypes.py:286(issubclass_)
    48390    0.147    0.000    0.392    0.000 /home/ate/miniconda3/envs/vu-dmt/lib/python3.8/site-packages/numpy/lib/nanfunctions.py:343(nanmax)
   192776    0.367    0.000    0.391    0.000 /home/ate/miniconda3/envs/vu-dmt/lib/python3.8/site-packages/numpy/core/_ufunc_config.py:132(geterr)
        1    0.000    0.000    0.389    0.389 /home/ate/miniconda3/envs/vu-dmt/lib/python3.8/site-packages/pandas/io/parsers.py:2059(read)
        1    0.368    0.368    0.389    0.389 {method 'read' of 'pandas._libs.parsers.TextReader' objects}
    96823    0.086    0.000    0.378    0.000 /home/ate/miniconda3/envs/vu-dmt/lib/python3.8/site-packages/pandas/core/construction.py:612(is_empty_data)
    48418    0.145    0.000    0.377    0.000 /home/ate/miniconda3/envs/vu-dmt/lib/python3.8/site-packages/pandas/core/indexing.py:646(_ensure_listlike_indexer)
   290441    0.302    0.000    0.350    0.000 /home/ate/miniconda3/envs/vu-dmt/lib/python3.8/site-packages/pandas/core/series.py:439(_set_axis)
        1    0.000    0.000    0.341    0.341 /home/ate/miniconda3/envs/vu-dmt/lib/python3.8/site-packages/pandas/core/series.py:4009(apply)
   193080    0.304    0.000    0.338    0.000 /home/ate/miniconda3/envs/vu-dmt/lib/python3.8/warnings.py:458(__enter__)
    96830    0.071    0.000    0.336    0.000 {method 'any' of 'numpy.ndarray' objects}
        2    0.036    0.018    0.334    0.167 {pandas._libs.lib.map_infer}
   145241    0.156    0.000    0.332    0.000 /home/ate/miniconda3/envs/vu-dmt/lib/python3.8/site-packages/pandas/core/indexes/base.py:5287(_maybe_cast_indexer)
    48394    0.086    0.000    0.329    0.000 /home/ate/miniconda3/envs/vu-dmt/lib/python3.8/site-packages/pandas/core/algorithms.py:1570(take)
    48427    0.053    0.000    0.313    0.000 <__array_function__ internals>:2(atleast_2d)
    96784    0.049    0.000    0.309    0.000 /home/ate/miniconda3/envs/vu-dmt/lib/python3.8/site-packages/pandas/core/dtypes/common.py:1276(is_string_like_dtype)
    48423    0.091    0.000    0.306    0.000 /home/ate/miniconda3/envs/vu-dmt/lib/python3.8/site-packages/pandas/core/indexes/range.py:133(_simple_new)
   145231    0.108    0.000    0.306    0.000 /home/ate/miniconda3/envs/vu-dmt/lib/python3.8/site-packages/pandas/core/generic.py:3409(_set_as_cached)
        1    0.000    0.000    0.305    0.305 /home/ate/miniconda3/envs/vu-dmt/lib/python3.8/site-packages/pandas/core/generic.py:5724(astype)
        1    0.000    0.000    0.305    0.305 /home/ate/miniconda3/envs/vu-dmt/lib/python3.8/site-packages/pandas/core/internals/managers.py:628(astype)
        1    0.001    0.001    0.305    0.305 /home/ate/miniconda3/envs/vu-dmt/lib/python3.8/site-packages/pandas/core/internals/blocks.py:2255(astype)
        1    0.000    0.000    0.304    0.304 /home/ate/miniconda3/envs/vu-dmt/lib/python3.8/site-packages/pandas/core/internals/blocks.py:592(astype)
        1    0.000    0.000    0.303    0.303 /home/ate/miniconda3/envs/vu-dmt/lib/python3.8/site-packages/pandas/core/internals/blocks.py:2159(get_values)
        1    0.000    0.000    0.303    0.303 /home/ate/miniconda3/envs/vu-dmt/lib/python3.8/site-packages/pandas/core/arrays/datetimes.py:583(astype)
        1    0.000    0.000    0.303    0.303 /home/ate/miniconda3/envs/vu-dmt/lib/python3.8/site-packages/pandas/core/arrays/datetimelike.py:337(astype)
        1    0.000    0.000    0.303    0.303 /home/ate/miniconda3/envs/vu-dmt/lib/python3.8/site-packages/pandas/core/arrays/datetimelike.py:223(_box_values)
   387552    0.182    0.000    0.291    0.000 /home/ate/miniconda3/envs/vu-dmt/lib/python3.8/site-packages/pandas/core/dtypes/common.py:1575(get_dtype)
    48390    0.065    0.000    0.281    0.000 /home/ate/miniconda3/envs/vu-dmt/lib/python3.8/site-packages/pandas/core/indexing.py:730(_is_nested_tuple_indexer)
   100000    0.224    0.000    0.279    0.000 /home/ate/miniconda3/envs/vu-dmt/lib/python3.8/site-packages/pandas/core/arrays/datetimes.py:484(_box_func)
    48390    0.154    0.000    0.277    0.000 /home/ate/miniconda3/envs/vu-dmt/lib/python3.8/site-packages/sklearn/utils/validation.py:1037(<listcomp>)
   193690    0.074    0.000    0.275    0.000 /home/ate/miniconda3/envs/vu-dmt/lib/python3.8/site-packages/pandas/core/dtypes/common.py:1551(_is_dtype)
   581058    0.189    0.000    0.275    0.000 /home/ate/miniconda3/envs/vu-dmt/lib/python3.8/site-packages/pandas/core/indexes/range.py:747(__len__)
